model,representation,dataset,n,positive_rate,auroc,auprc,alert_threshold_90,alert_threshold_95,alert_threshold_99
vae,tokpad_512,malt,756,0.082010582010582,0.5294924235381613,0.42691320973321334,0.8467795848846436,0.9838690161705017,1.249599575996399
cosine_centroid,turn_emb_mean_max,malt,756,0.082010582010582,0.48075671655666075,0.4036498883616297,,,
vae,turn_emb_mean_max,malt,756,0.082010582010582,0.5034628613925816,0.30178515915215437,0.5309446454048157,0.5837182402610779,0.7290165424346924
one_class_svm,turn_emb_mean,malt,756,0.082010582010582,0.6684716928511667,0.2757226771269568,,,
vae,turn_emb_mean,malt,756,0.082010582010582,0.5148740355117598,0.2311263411783308,0.44464942812919617,0.5152537226676941,0.6759417057037354
vae,tfidf_svd_side,malt,756,0.082010582010582,0.5652365901273589,0.1265991133311849,0.07406683266162872,0.08943071961402893,0.13672570884227753
one_class_svm,turn_emb_mean_max,malt,756,0.082010582010582,0.6507622943199778,0.12158307872457139,,,
cosine_centroid,turn_emb_mean,malt,756,0.082010582010582,0.4584456632890211,0.10500950662593095,,,
one_class_svm,tfidf_svd_side,malt,756,0.082010582010582,0.4653249047132099,0.097135979252805,,,
one_class_svm,tokpad_512,malt,756,0.082010582010582,0.0891512503486102,0.047306340658658005,,,
one_class_svm,tfidf_svd_side,trace,517,0.5183752417794971,0.5455703410657555,0.5595564719958848,,,
one_class_svm,tokpad_512,trace,517,0.5183752417794971,0.5424683809866331,0.55515773758071,,,
vae,tokpad_512,trace,517,0.5183752417794971,0.5159743451417611,0.5358156173318659,0.8467795848846436,0.9838690161705017,1.249599575996399
one_class_svm,turn_emb_mean_max,trace,517,0.5183752417794971,0.4906641491338489,0.509866354954635,,,
vae,turn_emb_mean_max,trace,517,0.5183752417794971,0.4787807948210754,0.4876857102730382,0.5309446454048157,0.5837182402610779,0.7290165424346924
vae,tfidf_svd_side,trace,517,0.5183752417794971,0.4652340706108014,0.48666815359869736,0.07406683266162872,0.08943071961402893,0.13672570884227753
cosine_centroid,turn_emb_mean_max,trace,517,0.5183752417794971,0.4529011568662711,0.47382101573945923,,,
one_class_svm,turn_emb_mean,trace,517,0.5183752417794971,0.4445992926931607,0.46979684864337623,,,
cosine_centroid,turn_emb_mean,trace,517,0.5183752417794971,0.4510429778816759,0.466189209264779,,,
vae,turn_emb_mean,trace,517,0.5183752417794971,0.43493376491038777,0.4556672577511316,0.44464942812919617,0.5152537226676941,0.6759417057037354
